['2016010216', 'METAR', 'SBGL', '021600Z', '14011KT', '9999', 'VCSH', 'FEW023', 'FEW027TCU', 'BKN043', 'X', '29', '23', 'Q1011=']
['2016010217', 'METAR', 'SBGL', '021700Z', '13018KT', '9999', 'VCSH', 'SCT023', 'FEW027TCU', 'X', 'X', '29', '23', 'Q1010=']
['2016010218', 'METAR', 'SBGL', '021800Z', '13015KT', '9999', 'VCSH', 'FEW023', 'FEW027TCU', 'BKN033', 'X', '27', '23', 'Q1010=']
['2016010219', 'METAR', 'SBGL', '021900Z', '15016KT', '8000', 'VCSH', 'SCT017', 'FEW027TCU', 'BKN030', 'X', '27', '23', 'Q1010=']
['2016010220', 'METAR', 'SBGL', '022000Z', '15016KT', '7000', 'VCSH', 'BKN013', 'FEW020TCU', 'OVC030', 'X', '26', '22', 'Q1010=']
['2016010221', 'METAR', 'SBGL', '022100Z', '13016KT', '9000', 'VCSH', 'BKN013', 'FEW020TCU', 'OVC027', 'X', '26', '22', 'Q1010=']
['2016010222', 'METAR', 'SBGL', '022200Z', '10010KT', '7000', 'VCSH', 'BKN015', 'FEW019TCU', 'OVC021', 'X', '25', '23', 'Q1011=']
['2016010223', 'METAR', 'SBGL', '022300Z', '08010KT', '7000', 'VCSH', 'FEW007', 'BKN017', 'BKN030', 'X', '25', '22', 'Q1011=']
['2016010300', 'METAR', 'SBGL', '030000Z', '07007KT', '9999', 'X', 'SCT007', 'BKN013', 'BKN030', 'X', '25', '22', 'Q1012=']
['2016010301', 'METAR', 'SBGL', '030100Z', '07006KT', '9999', 'X', 'SCT008', 'BKN030', 'X', 'X', '25', '22', 'Q1012=']
['2016010302', 'METAR', 'SBGL', '030200Z', '09005KT', '4500', '-DZ', 'SCT009', 'SCT015', 'BKN040', 'X', '25', '22', 'Q1012=']
['2016010303', 'METAR', 'SBGL', '030300Z', '07004KT', '6000', '-RA', 'FEW005', 'BKN011', 'BKN030', 'X', '24', '23', 'Q1011=']
['2016010304', 'METAR', 'SBGL', '030400Z', '11004KT', '8000', '-RA', 'BKN013', 'BKN025', 'X', 'X', '24', '23', 'Q1011=']
['2016010305', 'METAR', 'SBGL', '030500Z', '12003KT', '4000', 'RA', 'BKN006', 'BKN015', 'X', 'X', '24', '23', 'Q1010=']
['2016010306', 'METAR', 'SBGL', '030600Z', '11003KT', '9000', 'X', 'SCT006', 'BKN013', 'X', 'X', '24', '23', 'Q1010', 'RERA=']
['2016010307', 'METAR', 'SBGL', '030700Z', '14005KT', '9999', 'X', 'FEW006', 'SCT013', 'BKN020', 'X', '24', '22', 'Q1010=']
['2016010308', 'METAR', 'SBGL', '030800Z', '13003KT', '9999', 'X', 'SCT013', 'BKN020', 'X', 'X', '24', '22', 'Q1010=']
['2016010309', 'METAR', 'SBGL', '030900Z', '12002KT', '9999', 'X', 'BKN020', 'BKN100', 'X', 'X', '24', '22', 'Q1011=']
['2016010310', 'METAR', 'SBGL', '031000Z', '10004KT', '4000', '-RABR', 'SCT009', 'OVC020', 'X', 'X', '24', '22', 'Q1012=']
['2016010311', 'METAR', 'SBGL', '031100Z', '11004KT', '8000', '-RA', 'BKN010', 'BKN020', 'X', 'X', '25', '22', 'Q1012=']
['2016010312', 'METAR', 'SBGL', '031200Z', '01004KT', '8000', 'X', 'SCT008', 'BKN012', 'BKN020', 'X', '25', '22', 'Q1013=']
['2016010313', 'METAR', 'SBGL', '031300Z', '11006KT', '8000', 'X', 'SCT010', 'BKN014', 'OVC020', 'X', '25', '23', 'Q1013=']
['2016010314', 'METAR', 'SBGL', '031400Z', '14014KT', '9999', 'X', 'SCT010', 'BKN014', 'OVC020', 'X', '25', '21', 'Q1013=']
['2016010315', 'METAR', 'SBGL', '031500Z', '15010KT', '9999', 'X', 'FEW010', 'BKN020', 'OVC050', 'X', '27', '21', 'Q1013=']
['2016010316', 'METAR', 'SBGL', '031600Z', '14012KT', '9999', 'X', 'FEW015', 'SCT030', 'BKN045', 'X', '27', '21', 'Q1013=']
['2016010317', 'METAR', 'SBGL', '031700Z', '14013KT', '9999', 'X', 'FEW015', 'SCT025', 'BKN035', 'X', '27', '20', 'Q1013=']
['2016010318', 'METAR', 'SBGL', '031800Z', '14011KT', '9999', 'X', 'SCT025', 'OVC045', 'X', 'X', '26', '21', 'Q1013=']
['2016010319', 'METAR', 'SBGL', '031900Z', '14010KT', '9999', 'X', 'FEW015', 'SCT025', 'BKN050', 'X', '27', '20', 'Q1012=']
